Publication.title,General.area.of.coverage,canNo,startReel,endReel,startDate,endDate,Title.ID
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4813,15,15,1887,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4813,16,16,1888,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4813,17,17,1889,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,1,1,1890,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,2,2,1891,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,3,3,1892,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,4,4,1893,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,5,5,1894,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,6,6,1895,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,7,7,1896,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,8,8,1897,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,5190,13,13,1898,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,9,9,1899,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,6,6,1900,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,7,7,1901,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,8,8,1902,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,9,9,1903,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,10,10,1904,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,11,11,1905,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,12,12,1906,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,13,13,1907 Jan,1907 Jun,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,14,14,1907 Jul,1907 Dec,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,15,15,1908,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4645,1,1,1909,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,2,2,1910,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,5190,14,14,1911,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,3,3,1912,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,4,4,1913,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,5,5,1914,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,6,6,1915,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,7,7,1916,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,8,8,1917,1918,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,9,9,1919,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,1,1,1920,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,2,3,1921,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,4,5,1922,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,6,6,1923,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,1,1,1924,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,2,2,1925,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,3,3,1926,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,4,4,1927,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,5,5,1928,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,6,6,1929,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,7,7,1930,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,8,8,1931,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,9,9,1932,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,10,10,1933,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,1,2,1934,,013943828
